"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Classification for Crop Pest on U-SegNet","A. A. Rani; K. L. Prasanna; M. Shaikhul Ashraf; A. Kumar Dey; M. A. Ala Walid; D. R. K. Saikanth","Department of ECE, Excel Engineering College, Namakkal, Tamilnadu, India; School of Agriculture, SR University, Warangal, India; Department of Botany, HKM Govt. DegreeCollege Bandipora, Bandipora Kashmir (UT of Jammu &Kashmir), India; Electronics and Telecommunication Engineering Department, Bhilai Institute of Technology, Chhattisgarh, India; Foursteps Training Solutions, Chennai, Tamil Nadu, India; Department of Agricultural Extension, College of Agriculture, PJTSAU, Hyderabad, Telangana, India",2023 7th International Conference on Computing Methodologies and Communication (ICCMC),"4 Apr 2023","2023","","","926","932","As a long-standing issue, pests and illnesses in agriculture consistently cause large annual yield decreases. It's no secret that deep learning (DL) models are quite effective in facial recognition, therefore many people in the agricultural industry are curious about them. Since the algorithms used in existing methods of pest identification are sophisticated and there is a shortage of relevant data, the methods' accuracy in recognising and categorizing pests is low. When insects are misidentified as another type of pest, the wrong pesticides may be used, negatively affecting both crop productivity and the environment. Pre-trained deep learning architectures like Unet and ResNet were used to compare the proposed model to the suggested U-SegNet for insect categorization. This study also enhances the data to stop the network from becoming overly specialized. The accuracy of the proposed model has been analyzed by examining the impact of hyperparameters. The highest possible accurate classification rate has been accomplished at 93.54%.","","978-1-6654-6408-6","10.1109/ICCMC56507.2023.10083888","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10083888","Deep learning;Crop;UNET;ResNet;U-SegNet","Productivity;Deep learning;Analytical models;Insects;Computational modeling;Face recognition;Crops;Agriculture;Feeds","","10","","33","IEEE","4 Apr 2023","23-25 Feb. 2023","23-25 Feb. 2023","IEEE","IEEE Conferences"
"Anthill Detection in Precision Agriculture Using Machine Learning","J. Dalmasso; M. A. Montoya; P. C. Martínez; E. N. Millán","Geomática y Agricultura de Precisión, INTA EEA Mendoza, Mendoza, Argentina; Facultad de Ciencias Agrarias (UNCuyo), Geomática y Agricultura de Precisión INTA EEA Mendoza, Mendoza, Argentina; Instituto Tecnológico Universitario (ITU) Universidad Nacional de Cuyo, Mendoza, Argentina; Instituto Interdisciplinario de Ciencias Básicas, ICB CONICET-FCEN UNCuyo, Instituto Tecnológico Universitario (ITU-UNCuyo), Mendoza, Argentina",2025 XXI Workshop on Information Procesing and Control (RPIC),"27 Nov 2025","2025","","","1","5","This study explores the use of deep learning models for insect pest detection, focusing on different versions of the YOLO (You Only Look Once) object detection architecture. We compare the performance of YOLOv4, YOLOv8, and the most recent YOLOv11 models. Each version is tested under different hardware and image conditions to evaluate its suitability for realtime agricultural applications. The results indicate that YOLOv8 balances accuracy and speed more effectively, while YOLOv11 shows promising improvements in complex scenarios.","","979-8-3315-5702-7","10.1109/RPIC67987.2025.11260763","Universidad Nacional de Cuyo(grant numbers:SIIP T001-T4 2022/2024,SIIP 2025/2027); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11260763","Monitoring and data collection;Knowledge management;Drone;YOLO;plague","YOLO;Precision agriculture;Deep learning;Insects;Focusing;Data collection;Knowledge management;Hardware;Monitoring;Drones","","","","13","IEEE","27 Nov 2025","17-19 Sept. 2025","17-19 Sept. 2025","IEEE","IEEE Conferences"
"Detection and Classification of Agricultural Pest and Vermin’s using Full-Convolutional Neural Network","A. R. Abdulrazzaq; A. K. TüRkben; S. Kurnaz","Information technology, Altinbas university, Istanbul, Turkey; Information technology, Altinbas university, Istanbul, Turkey; electrical and computer engineering, Altinbas university, Istanbul, Turkey",2023 7th International Symposium on Innovative Approaches in Smart Technologies (ISAS),"17 Jan 2024","2023","","","1","6","This paper comprehensively explores the development and implementation of Full-Convolutional Neural Networks (FCNs) for precise agricultural pest and vermin detection and classification. Precision farming, a cornerstone of modern agriculture, relies heavily on effective crop health management, with pest and rodent identification being a critical aspect. FCN, a specialized deep learning technique, exhibits unique capabilities by facilitating precise pest localization within crop images, regardless of input size.To ensure the research’s credibility and efficacy, a diverse array of data sources, encompassing drones, stationary cameras, and handheld devices, is tapped. High-quality images with superior resolution and ideal lighting conditions are essential for maximizing model performance. Additionally, dataset diversity and rigorous professional-grade annotation processes significantly bolster model robustness. Annotation tools such as Labelbox are harnessed for accurate pest and vermin delineation, employing advanced techniques like bounding boxes and segmentation masks, with multiple reviewers engaged to minimize errors.This paper presents a comprehensive roadmap for developing and deploying FCNs tailored to agricultural pest and vermin detection and classification. It offers invaluable insights into the seamless integration of cutting-edge technology into precision farming practices. The research thereby contributes to improving crop health management and promoting sustainable agricultural approaches, underlining its significance in the contemporary agricultural landscape.","","979-8-3503-8306-5","10.1109/ISAS60782.2023.10391393","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10391393","Detection;Classification Full-Convolutional Neural Network;Agricultural Pest","Performance evaluation;Location awareness;Annotations;Soft sensors;Neural networks;Crops;Rodents","","","","23","IEEE","17 Jan 2024","23-25 Nov. 2023","23-25 Nov. 2023","IEEE","IEEE Conferences"
"Research on Cross-Regional Crop Pest and Disease Collaborative Diagnosis Based on Federated Knowledge Graphs: An AI Reasoning Mechanism Integrating Multi-Source Privacy Data and Domain Knowledge","W. Mu","Institute of Agricultural Sciences (IAR), Xizang Academy of Agriculture and Animal Husbandry Sciences (XZAAAS), Lhasa, China",2025 IEEE 4th International Conference of Safe Production and Informatization (IICSPI),"24 Mar 2026","2025","","","584","588","To accomplish intelligent co-diagnosis of cross-regional crop pests and diseases, as well as facilitate knowledge sharing and reasoning while protecting privacy, this paper suggests a federated knowledge graph-based diagnosis approach. By aggregating multi-source and heterogeneous agricultural data, a federated knowledge graph is established through alignment and grouping of concepts. Additionally, data privacy can be protected through application of differential privacy techniques within a federated system. Algorithms of multimodal feature fusion and neural-symbolic hybrid reasoning enable improvement of model interpretability and cross-region diagnosis capability. Experiments have proven that this diagnosis model has better accuracy, efficiency, and privacy preservation compared with other centralized deep learning diagnosis models, and can thus serve as a technical means for agriculture knowledge co-sharing and intelligent diagnosis tasks.","","979-8-3315-3878-1","10.1109/IICSPI66775.2025.11438122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11438122","Federated learning;Knowledge graph;Crop pests and diseases;Differential privacy;Explainable reasoning","Privacy;Differential privacy;Technological innovation;Semantics;Crops;Knowledge graphs;Cognition;Resource management;Optimization;Diseases","","","","15","IEEE","24 Mar 2026","26-28 Dec. 2025","26-28 Dec. 2025","IEEE","IEEE Conferences"
"Comparative Study of Major Algorithms for Pest Detection in Maize Crop","D. Sheema; K. Ramesh; P. N. Renjith; A. Lakshna","Department of Computer Applications, Hindustan Institute of Technology and Science, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Chennai, Tamilnadu, India; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Chennai, Tamilnadu, India; Department of Computer Applications, Hindustan Institute of Technology and Science, Chennai, Tamilnadu, India",2021 International Conference on Intelligent Technologies (CONIT),"4 Aug 2021","2021","","","1","7","Early-stage control of maize plant pest is a big issue in precision agriculture. Farmers can prevent pest only if they identified as early as possible and can avoid economic losses also. This type of process can minimize the usage of pesticides and can bring healthy crop. Here algorithm features are takes place for comparative study to identify the training time, training data, merits, demerits and accuracy. In this study, we found Faster R-CNN is good in accuracy but time delay was high. Faster R-CNN convolutional neural network is desirable to develop user friendly system for the farmers that can automatically identify pest. The object detection method can be further improved by adopting the proposed model. We proposed new algorithm to replace the drawback and to provide best result in both accuracy and time delay. IoU method supports to find the prediction object from the real object, hence the pest can identify from the crop. The pseudocode can use to develop the real time system to bring out the process in effective and also efficient manner. Some of the samples have initialize to check the performance metrics of the proposed algorithm.","","978-1-7281-8583-5","10.1109/CONIT51480.2021.9498280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9498280","Pest;Faster R-CNN;Accuracy;Algorithm","Training;Productivity;Delay effects;Plants (biology);Training data;Object detection;Prediction algorithms","","12","","30","IEEE","4 Aug 2021","25-27 June 2021","25-27 June 2021","IEEE","IEEE Conferences"
"Efficient Detection of Invasive Stink Bugs Using Convolutional Neural Networks","A. Dinca; N. Angelescu; L. Ichim; T. -L. Serghei; D. Popescu","Faculty of Automatic Control and Computer Science, National University of Science and Technology Politehnica Bucharest, Bucharest, Romania; Faculty of Electrical Engineering, Electronics, and Information Technology, Valahia University of Targoviste, Targoviste, Romania; Faculty of Automatic Control and Computer Science, National University of Science and Technology Politehnica Bucharest, Bucharest, Romania; Faculty of Automatic Control and Computer Science, National University of Science and Technology Politehnica Bucharest, Bucharest, Romania; Faculty of Automatic Control and Computer Science, National University of Science and Technology Politehnica Bucharest, Bucharest, Romania",2023 31st Telecommunications Forum (TELFOR),"1 Jan 2024","2023","","","1","4","Timely pest detection and identification is critical as part of modern agriculture. Halyomorpha Halys is a prevalent pest with proven harmful impacts on numerous crops and agricultural regions. The paper proposes an efficient model to improve the detection of two invasive stink bugs: Halyomorpha halys and Nezara Viridula. Automatic detection of these two bugs is essential in various fields, such as precision agriculture and integrated pest management. The high performances obtained in the present study open new perspectives for the further development of insect pest detection systems and can serve as a basis for future modifications and improvements of these models.","","979-8-3503-0313-1","10.1109/TELFOR59449.2023.10372747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10372747","convolutional neural networks;insect pest detection;agriculture","Insects;Computational modeling;Computer bugs;Crops;Computer architecture;Data models;Telecommunications","","1","","17","IEEE","1 Jan 2024","21-22 Nov. 2023","21-22 Nov. 2023","IEEE","IEEE Conferences"
"Leveraging Machine Learning and Drone Technology for Effective Insect Pest Management in Agriculture","M. A. Shaik; M. Parveen; I. Qureshi","School of Computer Science & Artificial Intelligence, SR University, Warangal, Telangana State, India; Department of Information Technology, Vidya Jyothi Institute of Technology, Hyderabad, Telangana State, India; College of Computing and Information Sciences, AlMusanna College of Technology, Sultanate of Oman",2024 Asia Pacific Conference on Innovation in Technology (APCIT),"18 Sep 2024","2024","","","1","8","Insect pests pose a serious threat to food security and agricultural profitability, as they cause direct damage to crops and transmit plant diseases. Manual monitoring methods are inadequate to detect and prevent infestations, especially in large-scale farming operations. This article explores the potential of using drone technology and machine learning algorithms to enhance insect pest management in agriculture. Drones can capture high-resolution images of fields, while machine learning can analyze the data and identify signs of insect activity. However, this approach faces several challenges, such as the diversity and complexity of insect species, their behavior, and their impact on crops. Therefore, a multidisciplinary collaboration among researchers, farmers, technologists, and entomologists is essential to develop effective and robust solutions. This article aims to provide an overview of the current state and future prospects of using drone technology and machine learning for insect pest management in agriculture.","","979-8-3503-6153-7","10.1109/APCIT62007.2024.10673597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673597","Deep learning;machine learning;Insect Pest;drone;decision tree","Radio frequency;Support vector machines;Accuracy;Machine learning algorithms;Insects;Crops;Nearest neighbor methods","","6","","28","IEEE","18 Sep 2024","26-27 July 2024","26-27 July 2024","IEEE","IEEE Conferences"
"Wheat Pest Identification Based on Deep Learning Techniques","C. Li; S. Chen; Y. Ma; M. Song; X. Tian; H. Cui","School of Computer Science and Engineering, Faculty of Innovation Engineering, Macau University of Science and Technology, Macau, China; School of Computer Science and Engineering, Faculty of Innovation Engineering, Macau University of Science and Technology, Macau, China; School of Computer Science and Engineering, Faculty of Innovation Engineering, Macau University of Science and Technology, Macau, China; School of Plant Protection, China Agricultural University, Beijing, China; School of Computer Science and Engineering, Faculty of Innovation Engineering, Macau University of Science and Technology, Macau, China; School of Computer Science, Zhuhai College of Science and Technology, Zhuhai, China",2024 IEEE 7th International Conference on Big Data and Artificial Intelligence (BDAI),"1 Oct 2024","2024","","","87","91","In recent years, effective pest management has become of cross-application of artificial intelligence and big data technologies in agriculture and environment. Nowadays, plant pests have just become a serious problem, which affects the ecological health as well as the growth of crops. In order to further better target traditional crop wheat for pest management, this study utilizes advanced deep learning techniques to accurately detect and categorize common wheat pests (“wireworm”, “Beet spot flies”, and “Cicadellidae”). Through the comparative analysis with the baseline model ResNet-18 model, this study also introduces the more advanced models SE-RegNetY and SEInception-ResNet-V3 models for pest identification in previous studies. Notably, among the three models applied in this study, the SE-Inception-ResNet-V3 model showed excellent results, achieving a significant average overall accuracy of $81.50 \%$ and kappa coefficient of $72.24 \%$, which were $10.3 \%$ and nearly $14.8 \%$ higher than the results of the benchmark ResNet-18 model, respectively. This study marks a further application of deep learning and artificial intelligence in agricultural pest management. By improving the accuracy of agricultural pest identification and classification, it provides the basis and foundation for more sustainable and environmentally friendly pest control methods.","","979-8-3503-5200-9","10.1109/BDAI62182.2024.10692889","Research and Development; Technology Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10692889","Deep Learning Techniques;Agriculture;Pest Identification;Wheat;Image Processing","Deep learning;Analytical models;Accuracy;Target recognition;Biological system modeling;Insects;Crops;Big Data;Pest control;Artificial intelligence","","3","","18","IEEE","1 Oct 2024","5-7 July 2024","5-7 July 2024","IEEE","IEEE Conferences"
"On the performance analysis of Yolo algorithms to identify the vector of Greening in orange farms","A. dos Santos; S. B. Mafra; F. A. P. de Figueiredo","Instituto Nacional de Telecomunicacões- Inatel, Santa Rita do Sapucaí, Brazil; Instituto Nacional de Telecomunicacões- Inatel, Santa Rita do Sapucaí, Brazil; Instituto Nacional de Telecomunicacões- Inatel, Santa Rita do Sapucaí, Brazil","2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)","24 Sep 2025","2025","","","1","6","Brazilian citrus farming plays a crucial role in the country’s agricultural economy, boasting significant volumes of citrus fruit production that contribute to both domestic consumption and the export market. However, the advent of Huanglongbing (HLB), commonly known as Greening disease, has introduced substantial challenges to orange juice production, threatening productivity and profitability. This disease is mainly spread by the Asian citrus psyllid (Diaphorina citri), making early and accurate detection of this insect vector essential to mitigate its impact. This study evaluates and compares the performance of state-of-the-art object detection algorithms, YOLOv7, YOLOv8, YOLOv9, YOLOv11, and YOLOv12, in identifying (Diaphorina citri) in orange groves. Experimental results demonstrate that YOLOv9 outperforms other versions based on evaluation metrics, highlighting its potential to improve vector monitoring and control strategies in citrus farming. These findings provide insights into the application of advanced computer vision techniques for agricultural pest management. A key contribution of this work is the ability to identify the disease transmitter in its early stage, where it is not yet capable of contaminating fruits. The model can be integrated with practical implementation aspects, such as its potential use in drone monitoring and intelligent capture systems.","","979-8-3315-3562-9","10.1109/ACDSA65407.2025.11166559","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166559","Disease;images;model;psyllid;training;vector;YOLO","YOLO;Productivity;Measurement;Computer vision;Accuracy;Green products;Vectors;Monitoring;Diseases;Drones","","","","23","IEEE","24 Sep 2025","7-9 Aug. 2025","7-9 Aug. 2025","IEEE","IEEE Conferences"
"A Research Review of Pest Identification and Detection Based on Deep Learning","T. Wu; G. Wu; J. Tao","School of Artificial Intelligence, Jianghan University, Wuhan; Educational Administration Office, Jianghan University, Wuhan; School of Artificial Intelligence, Jianghan University, Wuhan",2022 34th Chinese Control and Decision Conference (CCDC),"14 Feb 2023","2022","","","6075","6079","Efficient and accurate identification of pests will effectively help solve agricultural pest problems, promote the intelligence, professional and greening of crop pest control. Traditional pest identification and control methods are inefficient, and the use of artificial intelligence technologies such as deep learning and computer vision can significantly reduce human costs and largely improve the efficiency and accuracy of the pest identification process. A review is conducted on deep learning-based pest identification methods, introducing the application and development of different deep learning networks, analyzing the latest research progress of domestic and international scholars in the field, and comparing the performance and characteristics with each other. Existing pest recognition datasets are summarized to provide a reference for in-depth research on the application of pest recognition and detection.","1948-9447","978-1-6654-7896-0","10.1109/CCDC55256.2022.10034017","Jianghan University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034017","pest;identification;detection;deep learning","Deep learning;Computer vision;Costs;Green products;Process control;Crops;Pest control","","6","","31","IEEE","14 Feb 2023","15-17 Aug. 2022","15-17 Aug. 2022","IEEE","IEEE Conferences"
"A Review of Convolutional Neural Networks in the Field of Agricultural Pest and Disease Recognition","C. Wei; W. Feng","School of Automotive and Information Engineering, Guangxi Eco-Engineering Vocational & Technical College, LiuZhou, China; School of Automotive and Information Engineering, Guangxi Eco-Engineering Vocational & Technical College, LiuZhou, China",2024 14th International Conference on Information Technology in Medicine and Education (ITME),"27 Mar 2025","2024","","","121","124","The problem of crop diseases and pests severely hinders the production and development of modern agriculture. Convolutional neural networks possess powerful feature extraction capabilities. During the growth process of crops, using convolutional neural network technology helps accurately and efficiently analyze agricultural diseases and pests. This allows farmers to take timely and appropriate remedial measures, thereby improving crop yields. This review analyzes the current state of research on the application of convolutional neural network models in the automatic identification of crop diseases and pests. It discusses the development status and key technologies of various algorithms both domestically and internationally, points out their shortcomings, and further elaborates on the future development trends of high-performance crop disease and pest identification algorithms. This provides a reference for subsequent related research.","2474-3828","979-8-3503-5667-0","10.1109/ITME63426.2024.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10935448","component;convolutional neural network;crop pests and diseases;image recognition","Reviews;Crops;Production;Machine learning;Market research;Real-time systems;Sensors;Convolutional neural networks;Optimization;Diseases","","","","18","IEEE","27 Mar 2025","13-15 Sept. 2024","13-15 Sept. 2024","IEEE","IEEE Conferences"
"A Deep Learning Framework with Attention Mechanism for Accurate Detection and Classification of Crop Pest Management","S. P. S; V. S; R. A. K; S. K. Kannaiah","Department of CSE, Rajalakshmi Engineering College, Chennai, India; Department of AIDS, St. Joseph's Institute of Technology, Chennai, India; Department of CINTEL, School of Computing, SRM Institute of Science and Technology, Chennai, India; Department of CSE, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Andhra Pradesh, India","2024 4th International Conference on Computer, Communication, Control & Information Technology (C3IT)","13 Jan 2025","2024","","","1","6","Crop pests lead to significant economic losses, social disruptions, and ecological damage worldwide. Some of the financial effects are realized through the minimization of agricultural produce and the increase in costs associated with controlling measures over crop pests. Societal effects include food insecurity and a decrease in farmers' livelihoods; ecological effects may be loss of biodiversity and ecosystem disruption. Accurate identification of the pest is undertaken for effective pest management to take place. The challenges are relatively high in agricultural settings, considering the diversity of such pests. In these regards, different species require specific control strategies, including chemical insecticides, biological control measures, and cultural practices. Wrong identification may lead to the adoption of ineffective or improper control measures that may further deteriorate the situation. Deep learning models have proven outstanding in image classification competitions in the past years. That has attracted much attention from agricultural experts who would like to utilize these models for identification. Deep learning methods applied to identifying pests have shown a bright future but are also subjected to several challenges. First, the algorithms have some intrinsic complexities and require large amounts of labeled data to be trained to high effectiveness. However, ample and quality data for training is lacking for most pesticide species. The limited availability of data reduces the accuracy of existing methods in detecting and classifying pests. To address these challenges, the need to develop a fully automated system for the accurate detection of pests by class should be taken seriously. Such a system will employ deep learning models that use attention mechanisms and other capabilities to improve accuracy. Attention mechanisms permit the model to focus more on relevant parts of the input image and enhance its ability to distinguish between different pest species. This paper proposes a framework for an insect detection and classification system using an attention mechanism. The experimental results depict that this proposed model achieves the desired accuracy rate of 96.92 percent. The current level of precision is a notable improvement over current approaches and illustrates the potential of sophisticated deep-learning methods to revolutionize insect control strategies.","","979-8-3503-8912-8","10.1109/C3IT60531.2024.10829452","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10829452","Attention Mechanism;Crop;Deep Learning;Classification;Pest Management","Deep learning;Training;Accuracy;Attention mechanisms;Biological system modeling;Crops;Pesticides;Complexity theory;Classification algorithms;Cultural differences","","9","","12","IEEE","13 Jan 2025","28-29 Sept. 2024","28-29 Sept. 2024","IEEE","IEEE Conferences"
"The Function of Crop pest and disease identification based on the improved ConvNeXt Network model","H. Chen; Y. Liao","School of EIE Heyuan Polytechnic, Heyuan, Guangdong, China; School of EIE Heyuan Polytechnic, Heyuan, Guangdong, China",2023 4th International Conference on Electronic Communication and Artificial Intelligence (ICECAI),"13 Jul 2023","2023","","","387","391","A ConvNeXt-ECA network model based on the improved ConvNeXt network is designed for the problem that the pest identification method based on traditional machine learning and simple neural network is not ideal for crop pest identification with unbalanced data, unclear features and multiple categories. The model is based on the ConvNeXt network model as the backbone network, using migration learning to achieve the sharing of pre-trained weight parameters and combining with the attention mechanism to enhance the feature fusion capability. Finally, 16 plant species with a total of 27 types of diseases were studied with a total of 34,200 images, and the training set, validation set and test set were divided in the ratio of 6:2:2. The model converged significantly faster during the experimental training compared with VGG19, GoogLeNet, ResNet50 and ConvNeXt networks. The experimental results show that the accuracy of the improved ConvNeXt network-based crop pest and disease intelligent recognition model reaches 96.73%, while the ablation experiments demonstrate the improvement of the model performance by the optimization method proposed in this paper.","","979-8-3503-1449-6","10.1109/ICECAI58670.2023.10176546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10176546","ConvNeXt;transfer learning;attention mechanism;pattern recognition","Training;Image recognition;Computational modeling;Transfer learning;Neural networks;Crops;Optimization methods","","2","","9","IEEE","13 Jul 2023","12-14 May 2023","12-14 May 2023","IEEE","IEEE Conferences"
"Research on Agricultural Pest Target Detection Method based on YOLOv7","R. Wang; K. Xiang; B. Shao","School of Software BUAA, Beijing, China; Energy Conservation and Green Development Research Center CSIC, Beijing, China; School of Software BUAA, Beijing, China",2023 5th International Conference on Frontiers Technology of Information and Computer (ICFTIC),"13 Mar 2024","2023","","","505","509","The detection of agricultural pests is a crucial part of smart agriculture. In the realm of small agricultural pest detection within complex environments, this paper presents our novel, tailored pest detection approach. Our methodology is rooted in an optimized adaptation of the YOLOv7 model. The enhanced model we propose guarantees real-time detection capabilities, while simultaneously delivering improved accuracy. The key feature augmentations we incorporate are as follows: We developed a precisely engineered detection layer to tackle the complexities posed by small target detection. Optimization of preliminary box generation was realized through the deployment of a clustering algorithm. Additionally, we improved the non-maximum suppression approach. To manage extraneous information in the convoluted agricultural environment, we fused the ACmix attention mechanism module within the model to concentrate on agricultural pests. Our practical results substantiate the efficacy of our enhanced model, named YOLOv7-AgirPest, which achieves an astounding detection speed of 60.17 FPS in identifying agricultural pests. Additionally, we achieved significant progress with an mAP value reaching 67.23%, marking a 6.1% relative enhancement over the baseline YOLOv7 model. In summary, our refined model not only fulfills real-time detection constraints but also delivers superior agricultural pest detection in complex field conditions.","","979-8-3503-0903-4","10.1109/ICFTIC59930.2023.10456287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10456287","deep learning;target detection;pest detection","Smart agriculture;Adaptation models;Target recognition;Computational modeling;Clustering algorithms;Object detection;Feature extraction","","5","","5","IEEE","13 Mar 2024","17-19 Nov. 2023","17-19 Nov. 2023","IEEE","IEEE Conferences"
"Fast Crop Pest Detection Using Lightweight Feature Extraction and Knowledge Distillation","Z. Yang; X. Jiang; G. Jin; J. Huang; J. Bai; D. Yu","Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China; Faculty of Electrical Engineering and Computer Science, Ningbo University, Ningbo, China","2023 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","29 Jan 2024","2023","","","2277","2282","Pest detection is critical for achieving effective pest control. However, the current deep learning-based pest detection algorithm is unsuitable for deployment on resource-limited edge devices due to its extensive computation and long inference time. Although lightweight models have been widely used for practical detection, their insufficient feature extraction capability leads to a decline in detection accuracy. This paper proposes a fast algorithm for crop pest detection based on lightweight feature extraction and knowledge distillation. Firstly, we introduce partial convolution and propose a lightweight feature extraction module, C3Faster, which reduces the model's computation and speeds up model inference while ensuring effective feature extraction. Secondly, we use knowledge distillation to improve the model's detection accuracy by using teacher networks to assist in training. Finally, we created a dataset, CropPest6, consisting of six crop pest categories and conducted experiments. The experimental results demonstrate that our method reduces the detection time, number of parameters, and computation by 17%, 38%, and 44%, respectively, compared to the baseline model. Furthermore, our method achieves 93.9% Precision, 93.6% Recall, and 97.5% mean Average Precision (mAP), demonstrating its practical suitability for fast crop pest detection.","2577-1655","979-8-3503-3702-0","10.1109/SMC53992.2023.10394148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10394148","deep learning;object detection;pest detection;crop pests","Knowledge engineering;YOLO;Training;Computational modeling;Crops;Feature extraction;Task analysis","","1","","14","IEEE","29 Jan 2024","1-4 Oct. 2023","1-4 Oct. 2023","IEEE","IEEE Conferences"
"Development of a Pest Automatic Diagnosis System for Intelligent Agriculture Using Image Recognition","C. -C. Song; W. -Z. Chen; H. -Y. Chen; Y. -K. Chen","Department of Aeronautical Engineering, National Formosa University, Yulin, Taiwan; Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yulin, Taiwan; Graduate Institute of Aeronautical and Electronic Engineering, National Formosa University, Yulin, Taiwan; Department of Aeronautical Engineering, National Formosa University, Yulin, Taiwan","2023 International Technical Conference on Circuits/Systems, Computers, and Communications (ITC-CSCC)","15 Aug 2023","2023","","","1","5","Nowadays, the intelligent agriculture is rapidly developing in most of the countries. In some advanced countries, both the research and development of agricultural-related technology and the application of innovative technology have actively been supported with the policies in the recent years. In this paper, the study on agricultural pest and disease diagnosis system is discussed and evaluated. The pest automatic diagnosis system platform is implemented and constructed with image recognition, artificial intelligence algorithm, and network monitoring system. By using image recognition on pest identification and scientific management can achieve the primary goal of intelligent prevention and precision monitoring in agriculture, whereas data analysis of farmland is fulfilled to provide farmers with data-based information, so that farmers can immediately understand the status of the farmland, such as weather conditions, spraying time, pest quantity, pest distribution, etc. Additionally, through the diagnosis and analysis of image recognition and AI algorithm, the grading and amount of variable pesticide spraying is determined to improve and enhance the control of pest and disease and to achieve the goal of reducing pesticide usage and environmental pollution","","979-8-3503-2641-3","10.1109/ITC-CSCC58803.2023.10212586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212586","Artificial intelligence;Intelligent agriculture;Image recognition;Pest Automatic Diagnosis System","Smart agriculture;Image recognition;Databases;Spraying;Pesticides;Sensors;Servers","","6","","8","IEEE","15 Aug 2023","25-28 June 2023","25-28 June 2023","IEEE","IEEE Conferences"
"Paddy Crop Pest Identification and Classification Techniques Using Deep Learning","H. A; B. S. P","Department of Networking and Communications, SRM Institute of Science and Technology, Kattankulathur, India; Department of Networking and Communications, SRM Institute of Science and Technology, Kattankulathur, India","2023 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","19 Mar 2024","2023","","","1","8","The presence of pests in crops has a significant negative influence on both the quality and the quantity. As a result, taking steps to control and prevent bug infestations is more crucial than ever. Early detection of pests can increase agricultural production, which is of utmost significance to farmers. Finding pests manually may take time and effort for farmers, particularly those who operate bigger farms. Therefore, it is crucial to develop pest identification system based on computer vision in order to reduce the damage due to pests through proper classification of the pests and targeted management strategies. This may be accomplished by targeting management techniques towards specific pests. Deep convolutional neural networks (CNNs) are capable of extracting features and learn complicated, high-level qualities for images categorization, they are being used to address this problem. This study aims to provide a comparative analysis of several deep-learning methodologies. The Inception V3 model has outstanding performance, with an accuracy of 93.64%. It is clear that resources for determining pests impacting the yield of paddy and assessing their effectiveness are accessible to everyone.","","979-8-3503-1920-0","10.1109/ICSES60034.2023.10465565","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10465565","Convolutional neural networks;Paddy pests;Image recognition;Deep learning;Pest control","Deep learning;Support vector machines;Computer vision;Image recognition;Computational modeling;Crops;Production","","2","","20","IEEE","19 Mar 2024","14-15 Dec. 2023","14-15 Dec. 2023","IEEE","IEEE Conferences"
