Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Attention-PestNet: hierarchical scaled dot-product attention for insect pest detection,Plant Methods,,,,10.1186/s13007-025-01489-z,Vu Thinh DoanHoang Thanh LeThi Thu Thuy PhamHong-Jie Dai,2025,https://link.springer.com/article/10.1186/s13007-025-01489-z,Article
Machine Vision and Deep Learning for Smart Agriculture,AgriTech Revolution,,,,10.1007/978-981-95-1268-3_10,P. Raghavendra PrasadNagajyothi DimmitaT. SwapnaS. KanakaprabhaK. Shanthi Latha,2025,https://link.springer.com/chapter/10.1007/978-981-95-1268-3_10,Chapter
A lightweight few-shot learning model for crop pest and disease identification,Artificial Intelligence Review,,,,10.1007/s10462-025-11323-6,Linsen WeiJingjun TangJinxiu ChenCarine Pierrette MukamakuzaDefu ZhangTong Zhang,2025,https://link.springer.com/article/10.1007/s10462-025-11323-6,Article
Streamlined attention for insect pest classification: leveraging FSAN,Multimedia Tools and Applications,,,,10.1007/s11042-025-20954-4,D. Mansoor HussainA. Benazir BegumN Karthikeyan,2025,https://link.springer.com/article/10.1007/s11042-025-20954-4,Article
Climate-driven insect pest outbreaks and food security risks: a review of adaptive strategies for resilient agriculture,Journal of Pest Science,,,,10.1007/s10340-025-01985-0,Kamran HaiderDilawar AbbasFarman UllahMuhammad IjazMuhammad IkramKamil KabirKhalid Ali KhanJose Galian,2025,https://link.springer.com/article/10.1007/s10340-025-01985-0,Article
Yolo-pest: an optimized YoloV8x for detection of small insect pests using smart traps,Scientific Reports,,,,10.1038/s41598-025-97825-3,Ayesha HakimAmit Kumar SrivastavaAli HamzaMuhammad OwaisMuhammad Habib-ur-RahmanSalman QadriMirza Abdul QayyumFawad Zafar Ahmad KhanMuhammad Tariq MahmoodThomas Gaiser,2025,https://link.springer.com/article/10.1038/s41598-025-97825-3,Article
Cloud-powered efficiency: a mobile application for agricultural pest identification using cycle-consistent generative adversarial networks,"Environment, Development and Sustainability",,,,10.1007/s10668-025-06021-w,S. SoundararajanC. P. ShirleyBalasubbareddy MallalaK. Padmanaban,2025,https://link.springer.com/article/10.1007/s10668-025-06021-w,Article
YOLO-PEST: a novel rice pest detection approach based on YOLOv5s,Plant Methods,,,,10.1186/s13007-025-01438-w,Jun QiangLi ZhaoHongming WangTianqi XuQihang JiaLixiang Sun,2025,https://link.springer.com/article/10.1186/s13007-025-01438-w,Article
Method of intelligent agricultural pest image recognition based on machine vision algorithm,Discover Applied Sciences,,,,10.1007/s42452-024-06224-2,Feifei HanXiangbin GuanMing Xu,2024,https://link.springer.com/article/10.1007/s42452-024-06224-2,Article
Transforming Pest Management with Artificial Intelligence Technologies: The Future of Crop Protection,Journal of Crop Health,,,,10.1007/s10343-025-01109-9,E. Vidya MadhuriJ. S. RupaliS. P. SharanN. Sai PoojaG. S. SujathaDhananjaya P. SinghKhurshid AhmadAmrender KumarRatna Prabha,2025,https://link.springer.com/article/10.1007/s10343-025-01109-9,Article
Survey on crop pest detection using deep learning and machine learning approaches,Multimedia Tools and Applications,,,,10.1007/s11042-023-15221-3,M. ChithambarathanuM. K. Jeyakumar,2023,https://link.springer.com/article/10.1007/s11042-023-15221-3,Article
An interactive AI-based crop and pest management system leveraging transfer learning for enhanced sustainable agriculture,Modeling Earth Systems and Environment,,,,10.1007/s40808-025-02445-5,Rakesh Kumar RaySujata ChakravartySatyabrata DashSachi Nandan MohantyJanjhyam Venkata Naga Ramesh,2025,https://link.springer.com/article/10.1007/s40808-025-02445-5,Article
Advancing Toward Sustainable Agriculture Through Artificial Intelligence: Case Studies in Indian Agriculture,Advances in Agri-Food Systems,,,,10.1007/978-981-96-0759-4_15,Alka AroraChandan Kumar DebTanuj MisraHimanshushekhar ChaurasiaSudeep MarwahaRajender Parsad,2025,https://link.springer.com/chapter/10.1007/978-981-96-0759-4_15,Chapter
A lightweighted densely connected network for insect-pest identification in cotton crop,Neural Computing and Applications,,,,10.1007/s00521-025-11469-y,Shalini KumariSudeep MarwahaMd. Ashraful HaqueHarsh SachanChandan Kumar DebShashi DahiyaAlka AroraP. R. Shashank,2025,https://link.springer.com/article/10.1007/s00521-025-11469-y,Article
Agriculture applications contribution to improve precise pest management in China,Scientific Reports,,,,10.1038/s41598-025-25619-8,Hongmei LiYuanyuan ChengMariam Amale Tanjani Jewel KadzamiraFeng ZhangMin WanTao ZhangUndarmaa DavaasambuuGuangjun Wang,2025,https://link.springer.com/article/10.1038/s41598-025-25619-8,Article
Information and communication technologies in sustainable crop protection: advancing towards sustainable agriculture,Proceedings of the Indian National Science Academy,,,,10.1007/s43538-025-00443-w,Salman Ahmad,2025,https://link.springer.com/article/10.1007/s43538-025-00443-w,Article
Crop insect pest detection based on dilated multi-scale attention U-Net,Plant Methods,,,,10.1186/s13007-024-01163-w,Xuqi WangShanwen ZhangTing Zhang,2024,https://link.springer.com/article/10.1186/s13007-024-01163-w,Article
A fusion transfer learning framework for intelligent pest recognition in sustainable agriculture,Scientific Reports,,,,10.1038/s41598-025-19755-4,Amal AlshardanAsmaa Mansour AlghamdiNoha NegmMukhtar GhalebAbdulbasit A. DaremMalak Zayed AlamriMohammed Yahya AlzahraniSultan Alanazi,2025,https://link.springer.com/article/10.1038/s41598-025-19755-4,Article
Deep learning for recognition and detection of plant diseases and pests,Neural Computing and Applications,,,,10.1007/s00521-025-11125-5,Xiang YueKai QiXinyi NaYanhua LiuFuhao YangWei Wang,2025,https://link.springer.com/article/10.1007/s00521-025-11125-5,Article
Deep Learning and IoT Fusion for Wildlife Detection in Agriculture: A Case Study on Bird Activity in Agriculture Fields,Intelligent Sustainable Systems,,,,10.1007/978-3-032-11524-9_10,B. Sakthi Karthi DuraiRajaprakash,2025,https://link.springer.com/chapter/10.1007/978-3-032-11524-9_10,Conference paper
Towards automated crop protection: fusion of densenet121-resnet50 model for disease detection and pest recognition,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-025-02975-2,Vedansh SoodShiv Shankar Prasad ShuklaAnil Kumar YadavSparsh TiwariYashashvi Srivastava,2025,https://link.springer.com/article/10.1007/s13198-025-02975-2,Article
AI-Driven Crop Monitoring and Management for Sustainable Agriculture,Transforming Agriculture through Artificial Intelligence for Sustainable Food Systems,,,,10.1007/978-981-96-4795-8_3,Pritha GhoshAjinkya MarkadChandan Maharana,2025,https://link.springer.com/chapter/10.1007/978-981-96-4795-8_3,Chapter
Advanced sound-based pest detection in agriculture using deep learning and adaptive optimization,International Journal of Information Technology,,,,10.1007/s41870-025-02548-3,Sahana Lokesh RK. SailajaKumarR. S.SoundariyaKavitha K SS. Reshma,2025,https://link.springer.com/article/10.1007/s41870-025-02548-3,Article
Multiple model visual feature embedding and selection method for an efficient pest classification supporting precision agriculture,Scientific Reports,,,,10.1038/s41598-025-16942-1,Vikas KhullarIsha KansalShyama Barna BhattacharjeeZarin TasneemNitin GoyalShirina SamreenSachin Kumar GuptaShubham Mahajan,2025,https://link.springer.com/article/10.1038/s41598-025-16942-1,Article
A decade of research in small object detection: a comprehensive bibliometric analysis,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00881-1,Ume NisaMuhammad Syafiq Mohd PoziMohamed Ali Saip,2025,https://link.springer.com/article/10.1007/s41060-025-00881-1,Article
An In-Depth Analysis of Artificial Intelligence-Based Crop Pest Management and Water Supply Regulation,Artificial Intelligence Techniques in Smart Agriculture,,,,10.1007/978-981-97-5878-4_10,Sanhita ChowdhuryAkanksha AdhikariSomashekhar GaddanakeriVyshnavi SunilShreya SinghIpsita SamalVinod Kumar DubeyTanmay Kumar BhoiDeepak Kumar MahantaHabib Ali,2024,https://link.springer.com/chapter/10.1007/978-981-97-5878-4_10,Chapter
Agricultural pest image generation for real-time detection with semantic diffusion and knowledge distillation,"Signal, Image and Video Processing",,,,10.1007/s11760-025-04099-3,Zhiwei WangHongyu MaChengyu WuLonghua Ma,2025,https://link.springer.com/article/10.1007/s11760-025-04099-3,Article
BEiT-Based Deep Model for Agricultural Pest Detection,Bio-Inspired Computing,,,,10.1007/978-3-031-78940-3_27,Raghunath MandipudiA. Basi ReddyKonatham SumalathaNaresh TanguduMadhavi GudavalliK. Mahesh Kumar,2025,https://link.springer.com/chapter/10.1007/978-3-031-78940-3_27,Conference paper
AI-driven smart agriculture using hybrid transformer-CNN for real time disease detection in sustainable farming,Scientific Reports,,,,10.1038/s41598-025-10537-6,Zhuo ZengTariq MahmoodYu WangAmjad RehmanMuhammad Akram Mujahid,2025,https://link.springer.com/article/10.1038/s41598-025-10537-6,Article
IoT based intelligent pest management system for precision agriculture,Scientific Reports,,,,10.1038/s41598-024-83012-3,Salman AhmedSafdar Nawaz Khan MarwatGhassen Ben BrahimWaseem Ullah KhanShahid KhanAla Al-FuqahaSlawomir Koziel,2024,https://link.springer.com/article/10.1038/s41598-024-83012-3,Article
Transfer learning in agriculture: a review,Artificial Intelligence Review,,,,10.1007/s10462-024-11081-x,Md Ismail HossenMohammad AwrangjebShirui PanAbdullah Al Mamun,2025,https://link.springer.com/article/10.1007/s10462-024-11081-x,Article
"A sustainable crop protection through integrated technologies: UAV-based detection, real-time pesticide mixing, and adaptive spraying",Scientific Reports,,,,10.1038/s41598-025-19473-x,Wen LiYahui LuoPing JiangXiang DongKaiwen TangZhiluo LiangYixin Shi,2025,https://link.springer.com/article/10.1038/s41598-025-19473-x,Article
OSAF-Net: A one-stage anchor-free detector for small-target crop pest detection,Applied Intelligence,,,,10.1007/s10489-023-04862-4,Rujing WangShifeng DongLin JiaoJianming DuZiliang HuangShijian ZhengChenrui Kang,2023,https://link.springer.com/article/10.1007/s10489-023-04862-4,Article
AETC: an automated pest detection and classification model using optimal integration of Yolo + SSD and adaptive ensemble transfer CNN with IoT-assisted pest images,Knowledge and Information Systems,,,,10.1007/s10115-024-02146-y,B. PrasathM. Akila,2024,https://link.springer.com/article/10.1007/s10115-024-02146-y,Article
Decoding plant defense: accelerating insect pest resistance with omics and high-throughput phenotyping,Plant Physiology Reports,,,,10.1007/s40502-024-00835-y,Revanayya M. GotheArunsaikumar KarremRakshith S. R. GowdaDhanyakumar OnkarappaJagdish JabaSeung-Joon AhnShashank PathourKalenahalli YogendraRaju Bheemanahalli,2024,https://link.springer.com/article/10.1007/s40502-024-00835-y,Article
Precision Identification Technology of Crop Intelligent Diseases and Pests in Field,"Innovative Computing 2025, Volume 1",,,,10.1007/978-981-96-7999-7_33,Jinlong ChenBin HuangYou Tang,2025,https://link.springer.com/chapter/10.1007/978-981-96-7999-7_33,Conference paper
Insect Management in Crops Using Deep Learning,Proceedings of International Conference on Communication and Computational Technologies,,,,10.1007/978-981-97-7423-4_28,Sala AnilkumarG. KalyaniVadapalli TejaDoddapaneni Sadhrusya,2024,https://link.springer.com/chapter/10.1007/978-981-97-7423-4_28,Conference paper
Enhancing cotton whitefly (<i>Bemisia tabaci</i>) detection and counting with a cost-effective deep learning approach on the Raspberry Pi,Plant Methods,,,,10.1186/s13007-024-01286-0,Zhen FengNan WangYing JinHaijuan CaoXia HuangShuhan WenMingquan Ding,2024,https://link.springer.com/article/10.1186/s13007-024-01286-0,Article
Research on Plant Leaf Disease Detection Method Based on Improved YOLOv11,Journal of Biosystems Engineering,,,,10.1007/s42853-025-00276-x,Yan ZhangWeizhong ChengYinghui WangZhensheng LuMiao Cheng,2025,https://link.springer.com/article/10.1007/s42853-025-00276-x,Article
Optimizing Crop Health with Artificial Intelligence and Machine Learning Technologies,Ecologically Mediated Development,,,,10.1007/978-981-96-2413-3_22,Ghanwa MaryamNaima KhanShafaque SeharZakir IbrahimSundas AshrafSuqaina AreejZahra ZulfiqarMuhammad Faheem Adil,2025,https://link.springer.com/chapter/10.1007/978-981-96-2413-3_22,Chapter
Robust CRW crops leaf disease detection and classification in agriculture using hybrid deep learning models,Plant Methods,,,,10.1186/s13007-025-01332-5,B. V. BaijuNancy KirupanithiSaravanan SrinivasanAnjali KapoorSandeep Kumar MathivananMohd Asif Shah,2025,https://link.springer.com/article/10.1186/s13007-025-01332-5,Article
Remote sensing application in plant protection and its usage in smart agriculture to hasten decision making of the farmers,Journal of Plant Diseases and Protection,,,,10.1007/s41348-025-01082-5,R. Sathya PriyaN. JagathjothiM. YuvarajN. SuganthiR. SharmilaM. SaranyaL. KarthibaP. Murali ArthanariC. BharathiG. Senthil KumarJaiby CyriacS. Anandha Krishnaveni,2025,https://link.springer.com/article/10.1007/s41348-025-01082-5,Article
Edge Feature-Enhanced Swin Transformer for&#xa0;Insect Image Classification,Neural Computing for Advanced Applications,,,,10.1007/978-981-95-3736-5_20,Yuefeng LiLi ZhangLekang Sun,2025,https://link.springer.com/chapter/10.1007/978-981-95-3736-5_20,Conference paper
Emerging Plant Disease Prediction Through Forewarning Model and Artificial Intelligence (AI) Under Climate Change Scenario,Climate Resilient and Sustainable Agriculture: Volume 2,,,,10.1007/978-3-032-04141-8_6,Kumar Avinash BiswalSiddhartha DasSudipta Jana,2025,https://link.springer.com/chapter/10.1007/978-3-032-04141-8_6,Chapter
Tri Focus Net: A CNN-Based Model with Integrated Attention Modules for Pest and Insect Detection in&#xa0;Agriculture,Proceedings of Trends in Electronics and Health Informatics,,,,10.1007/978-981-97-3937-0_16,A. S. M. Montashir FahimAnwar Hossain EfatS. M. Mahedy HasanMahjabin Rahman OisheNahrin JannatMostarina Mitu,2025,https://link.springer.com/chapter/10.1007/978-981-97-3937-0_16,Conference paper
Enhanced Agricultural Productivity: UAV-Based Technology for Precision Crop Yield Estimation and Disease Detection,UAV Aerodynamics and Crop Interaction,,,,10.1007/978-981-96-8402-1_7,ImranJiyu Li,2025,https://link.springer.com/chapter/10.1007/978-981-96-8402-1_7,Chapter
A novel method based on hybrid deep learning with explainability for olive fruit pest forecasting,Neural Computing and Applications,,,,10.1007/s00521-024-10731-z,A. M. Chacón-MaldonadoL. Melgar-GarcíaG. Asencio-CortésA. Troncoso,2024,https://link.springer.com/article/10.1007/s00521-024-10731-z,Article
Artificial Intelligence for Precision Agriculture and Water Management,Integrated Land and Water Resource Management for Sustainable Agriculture Volume 2,,,,10.1007/978-981-97-9800-1_1,V. V. S. Jaya KrishnaAditi Saha RoyManimala MahatoSaptashree Das,2025,https://link.springer.com/chapter/10.1007/978-981-97-9800-1_1,Chapter
Small object detection in diverse application landscapes: a survey,Multimedia Tools and Applications,,,,10.1007/s11042-024-18866-w,IqraKaisar J. GiriMohammed Javed,2024,https://link.springer.com/article/10.1007/s11042-024-18866-w,Article
Vision-knowledge-fusion-based agricultural pest recognition and intelligent auto-labeling,Discover Artificial Intelligence,,,,10.1007/s44163-025-00477-5,Shiwei ChuWenxia Bao,2025,https://link.springer.com/article/10.1007/s44163-025-00477-5,Article
Detection and Quantification of Citrus Long-horned Beetle (<i>Anoplophora chinensis</i>) in Hazelnut Orchards Using YOLOv5 Deep Learning,Applied Fruit Science,,,,10.1007/s10341-025-01418-3,Bahadır ŞinLerzan Öztürk,2025,https://link.springer.com/article/10.1007/s10341-025-01418-3,Article
An interpretable crop leaf disease and pest identification model based on prototypical part network and contrastive learning,Scientific Reports,,,,10.1038/s41598-025-22521-1,Bingjing JiaJinyu ZengZhiwei ZhengHua GeChenguang Song,2025,https://link.springer.com/article/10.1038/s41598-025-22521-1,Article
Integrating climate–pest interactions into crop projections for sustainable agriculture,Nature Food,,,,10.1038/s43016-024-00994-z,Chengjun LiHuan ZhongWenjing NingGao HuMengjie WuYujie LiuBing YanHongqiang RenChristian Sonne,2024,https://link.springer.com/article/10.1038/s43016-024-00994-z,Article
Crop Pest Detection Methods in Field,Deep Learning for Agricultural Visual Perception,,,,10.1007/978-981-99-4973-1_5,Rujing WangLin JiaoKang Liu,2023,https://link.springer.com/chapter/10.1007/978-981-99-4973-1_5,Chapter
Smart Pesticide Recommendation System Using Deep Learning Techniques,Advances in Artificial-Business Analytics and Quantum Machine Learning,,,,10.1007/978-981-97-4860-0_10,K. G. HarshaKakoli BanerjeeP. VinoothShruti VarshneyShreya GuptaSmily Jasrotia,2024,https://link.springer.com/chapter/10.1007/978-981-97-4860-0_10,Conference paper
DGS-Yolov7-Tiny: a lightweight pest and disease target detection model suitable for edge computing environments,Scientific Reports,,,,10.1038/s41598-025-13410-8,Ping YuBaoshu ZongXiaozhong GengHui YanBaijin LiuCheng ChenHupeng LiuXiaoqing Xu,2025,https://link.springer.com/article/10.1038/s41598-025-13410-8,Article
A lightweight deep learning model for multi-plant biotic stress classification and detection for sustainable agriculture,Scientific Reports,,,,10.1038/s41598-025-90487-1,Wasswa ShafikAli TufailLiyanage Chandratilak De SilvaRosyzie Anna Awg Haji Mohd Apong,2025,https://link.springer.com/article/10.1038/s41598-025-90487-1,Article
A Comprehensive Review of Plant Disease Detection: A Systematic Analysis of Deep Learning Methods and Emerging Trends,"Internet of Things and Analytics for Agriculture, Volume 4",,,,10.1007/978-981-96-7492-3_16,Sudipta BhattacharyaNabanita DasRaghvendra KumarBrojo Kishore Mishra,2025,https://link.springer.com/chapter/10.1007/978-981-96-7492-3_16,Chapter
Advanced Pest Identification Framework Using Deep Learning and Feature Extraction Techniques,Journal of Electrical Engineering & Technology,,,,10.1007/s42835-024-02111-3,V. YamunaJeevaa KatiravanP. Visu,2024,https://link.springer.com/article/10.1007/s42835-024-02111-3,Article
A lightweight rice pest detection algorithm based on improved YOLOv8,Scientific Reports,,,,10.1038/s41598-024-81587-5,Yong ZhengWeiheng ZhengXia Du,2024,https://link.springer.com/article/10.1038/s41598-024-81587-5,Article
A Comprehensive Review of Bio-inspired Approaches in Agriculture,Proceedings of Data Analytics and Management,,,,10.1007/978-981-96-3355-5_50,Chhavi SharmaSanjay Kumar DubeyVishal Bhatnagar,2025,https://link.springer.com/chapter/10.1007/978-981-96-3355-5_50,Conference paper
Pest-YOLOv8: enhanced detection for small and complex agricultural pests using triple attention and wise-IoU,Journal of Plant Diseases and Protection,,,,10.1007/s41348-025-01134-w,Bing SuYueyang ZhuYifeng Lin,2025,https://link.springer.com/article/10.1007/s41348-025-01134-w,Article
Agricultural Pest Classification Using Dense Network with&#xa0;Statistical Approach to&#xa0;Dataset Balancing,Soft Computing: Theories and Applications,,,,10.1007/978-981-96-5958-6_19,Neetu AgrawalMehul MahrishiMukesh Kumar Gupta,2025,https://link.springer.com/chapter/10.1007/978-981-96-5958-6_19,Conference paper
Artificial Intelligence and Machine Learning Use in Agriculture Domain: A Review,AI and ML Techniques in Image Processing and Object Detection,,,,10.1007/978-981-96-7445-9_2,Vinay KumarSushil Sharma,2025,https://link.springer.com/chapter/10.1007/978-981-96-7445-9_2,Chapter
Cutting-edge ensemble framework of deep convolutional neural networks for high-precision insect pest classification,Journal of Plant Diseases and Protection,,,,10.1007/s41348-024-00986-y,Ratheesh RajuT. M. Thasleema,2024,https://link.springer.com/article/10.1007/s41348-024-00986-y,Article
Research on hotspots and frontiers of agricultural pests and diseases image recognition technology based on bibliometrics,Multimedia Tools and Applications,,,,10.1007/s11042-024-20288-7,Hongtao ZhangLi ZhengYu LiuZhongyang LiLian TanJiahui GaoChuanli Li,2024,https://link.springer.com/article/10.1007/s11042-024-20288-7,Article
"Deep-learning-based counting methods, datasets, and applications in agriculture: a review",Precision Agriculture,,,,10.1007/s11119-023-10034-8,Guy FarjonLiu HuijunYael Edan,2023,https://link.springer.com/article/10.1007/s11119-023-10034-8,Article
A survey on pest detection and classification in field crops using artificial intelligence techniques,International Journal of Intelligent Robotics and Applications,,,,10.1007/s41315-024-00347-w,P. VenkatasaichandrakanthM. Iyapparaja,2024,https://link.springer.com/article/10.1007/s41315-024-00347-w,Article
Transforming Agriculture with AI and Machine Learning: A Review of Agri-Health and Crop Protection in the Agri 5.0 Era,Bio-Inspired Computing,,,,10.1007/978-3-031-78940-3_13,Nisha DeviShilpa Gupta,2025,https://link.springer.com/chapter/10.1007/978-3-031-78940-3_13,Conference paper
Advanced multi-class deep learning convolution neural network approach for insect pest classification using TensorFlow,International Journal of Environmental Science and Technology,,,,10.1007/s13762-022-04277-7,K. RimalK. B. ShahA. K. Jha,2022,https://link.springer.com/article/10.1007/s13762-022-04277-7,Article
Portable Semi-autonomous Robot for Agricultural Pest Recognition and Elimination,Intelligent Systems Design and Applications,,,,10.1007/978-3-031-64847-2_37,Jose Martin ManingoArgel BandalaElmer DadiosJohn Dominic AguilaGian Kendrick GoCarl Nixon OngMarc Lance OrsosBryan Kenneth Que-Unsu,2024,https://link.springer.com/chapter/10.1007/978-3-031-64847-2_37,Conference paper
The optimization path of agricultural industry structure and intelligent transformation by deep learning,Scientific Reports,,,,10.1038/s41598-024-81322-0,Xingchen PanJinyu Chen,2024,https://link.springer.com/article/10.1038/s41598-024-81322-0,Article
Precision Farming: The Future of Sustainable Agriculture,Transforming Agriculture through Artificial Intelligence for Sustainable Food Systems,,,,10.1007/978-981-96-4795-8_2,ManishaAmit ThakurGajender YadavMandeep RedhuPoulami Ray,2025,https://link.springer.com/chapter/10.1007/978-981-96-4795-8_2,Chapter
Enhancing Crop Image Classification: Comparative Analysis of Augmentation Techniques for Small Datasets,Artificial Intelligence: Theory and Applications,,,,10.1007/978-981-96-1687-9_23,Shruti SinghShantanu KumarPurnachandra MandadapuSatish Mandavalli,2025,https://link.springer.com/chapter/10.1007/978-981-96-1687-9_23,Conference paper
Expected effects of a global transformation of agricultural pest management,Nature Communications,,,,10.1038/s41467-025-66982-4,Niklas MöhringMalick N. BaAnna Rafaela Cavalcante BragaSabrina GabaVesna GagicPer KudskAshley LarsenRobin MesnageUrs NiggliMatin QaimPepijn SchreinemachersChristian StammWim de VriesRobert Finger,2025,https://link.springer.com/article/10.1038/s41467-025-66982-4,Article
Agriculture 5.0: Applications of Artificial Intelligence and Internet of Things,"Indian Agriculture: Challenges, Priorities and Solutions",,,,10.1007/978-981-96-5273-0_13,Shivendra MishraThondavarapu AshaChandan Kumar Rai,2025,https://link.springer.com/chapter/10.1007/978-981-96-5273-0_13,Chapter
Monitoring and predicting cotton leaf diseases using deep learning approaches and mathematical models,Scientific Reports,,,,10.1038/s41598-025-06985-9,Abdul RehmanNadeem AkhtarOmar H. Alhazmi,2025,https://link.springer.com/article/10.1038/s41598-025-06985-9,Article
Large-Scale Agricultural Pest and Disease Datasets,Deep Learning for Agricultural Visual Perception,,,,10.1007/978-981-99-4973-1_3,Rujing WangLin JiaoKang Liu,2023,https://link.springer.com/chapter/10.1007/978-981-99-4973-1_3,Chapter
YOLOv9c: A Robust Framework for&#xa0;Insect Detection,Multi-disciplinary Trends in Artificial Intelligence,,,,10.1007/978-981-96-0695-5_3,Hai Thanh NguyenBinh Phuong NguyenAnh Kim Su,2025,https://link.springer.com/chapter/10.1007/978-981-96-0695-5_3,Conference paper
DASSF: Dynamic-Attention Scale-Sequence Fusion for&#xa0;Aerial Object Detection,Computational Visual Media,,,,10.1007/978-981-96-5809-1_12,Haodong LiHaicheng Qu,2025,https://link.springer.com/chapter/10.1007/978-981-96-5809-1_12,Conference paper
Revolutionizing wildlife protection: a novel approach combining deep learning and night-time surveillance,Multimedia Tools and Applications,,,,10.1007/s11042-024-19876-4,Nithya MadhasuSagar Dhanraj Pande,2024,https://link.springer.com/article/10.1007/s11042-024-19876-4,Article
A transfer learning approach to classify insect diversity based on explainable AI,Discover Life,,,,10.1007/s11084-025-09680-x,Md Mahmudul HasanS. M. ShaqibSharmin AkterAlaya Parven AloSharun Akter KhushbuMohammad Nurul HudaOhidujjaman,2025,https://link.springer.com/article/10.1007/s11084-025-09680-x,Article
A comprehensive review on the Internet of Things in precision agriculture,Multimedia Tools and Applications,,,,10.1007/s11042-024-19656-0,Gurpreet SinghSandeep Sharma,2024,https://link.springer.com/article/10.1007/s11042-024-19656-0,Article
Crop Recommendation System Using Machine Learning Approaches,Information Systems for Intelligent Systems,,,,10.1007/978-981-96-1747-0_45,N. PavithraR. SapnaPreethiA. AshwithaC. M. Manasa,2025,https://link.springer.com/chapter/10.1007/978-981-96-1747-0_45,Conference paper
Innovative Approach to Cucumber Pests Detection: Leveraging Roboflow for Annotating and Training,Artificial Intelligence: Theory and Applications,,,,10.1007/978-981-96-1687-9_31,N. HemalathaRithika AdappaK. M. Sreekumar,2025,https://link.springer.com/chapter/10.1007/978-981-96-1687-9_31,Conference paper
Developments in precision crop protection systems,Precision agriculture for sustainability: Second edition,,,,10.19103/AS.2025.0152.18,Roberto ObertiTito CaffAldo Calcante,2025,https://link.springer.com/chapter/10.19103/AS.2025.0152.18,Chapter
